ID Produktu,Nazwa Produktu,Lokacja,Ilość
141,Walking Cheeseburger,H407A08,12
280,Harens Giants,H501A08,14
213,Dots Comfort,H403A08,19
461,Cafrom,H503A07,6
360,Jogro,H401A16,7
242,Barms,H502A06,1
432,Smirons,H401A11,5
207,Prangles TYM,H306A11,12
455,Olisons,H306A04,3
404,Serians,H407A15,14
355,Tawton,H407A04,2
239,Jololo,H503A04,7
325,Coynts,H505A04,7
250,Haties Cherries,H203A08,2
482,Arations,H403A16,11
490,Harkons,H202A05,8
307,Zartys,H506A03,9
223,Kit Chunky,H407A06,20
308,Talens,H101A04,19
326,Koloco,H204A12,14
